agent_id,seniority,year,season,policy,patient_satisfaction,metric,mmss
1,mid,2021,winter,hybrid_ai,55.2,first_response,06:30.7
1,mid,2021,winter,hybrid_ai,55.2,handle_time,21:12.9
1,mid,2021,winter,hybrid_ai,55.2,resolution_time,116:08.0
1,mid,2021,spring,hybrid_ai,64.4,first_response,04:56.7
1,mid,2021,spring,hybrid_ai,64.4,handle_time,17:01.3
1,mid,2021,spring,hybrid_ai,64.4,resolution_time,85:54.5
1,mid,2021,summer,hybrid_ai,91.2,first_response,05:06.0
1,mid,2021,summer,hybrid_ai,91.2,handle_time,14:51.0
1,mid,2021,summer,hybrid_ai,91.2,resolution_time,82:37.1
1,mid,2021,autumn,human,83.6,first_response,05:44.5
1,mid,2021,autumn,human,83.6,handle_time,16:38.5
1,mid,2021,autumn,human,83.6,resolution_time,104:35.8
1,mid,2022,winter,hybrid_ai,41.557527702722716,first_response,05:34.0
1,mid,2022,winter,hybrid_ai,53.17021867059284,handle_time,17:27.2
1,mid,2022,winter,hybrid_ai,61.317593275369894,resolution_time,95:21.8
1,mid,2022,spring,hybrid_ai,56.612494399546726,first_response,04:11.5
1,mid,2022,spring,hybrid_ai,94.7390313997909,handle_time,13:57.9
1,mid,2022,spring,hybrid_ai,30.449664007942438,resolution_time,74:21.6
1,mid,2022,summer,hybrid_ai,49.8799185951833,first_response,05:00.4
1,mid,2022,summer,hybrid_ai,62.64225358818629,handle_time,14:39.5
1,mid,2022,summer,hybrid_ai,66.08118203243852,resolution_time,83:44.2
1,mid,2022,autumn,human,73.58045876841896,first_response,04:36.1
1,mid,2022,autumn,human,32.03791816661803,handle_time,15:59.1
1,mid,2022,autumn,human,11.645674043570615,resolution_time,83:17.9
1,mid,2023,winter,hybrid_ai,85.1,first_response,04:45.7
1,mid,2023,winter,hybrid_ai,85.1,handle_time,18:47.5
1,mid,2023,winter,hybrid_ai,85.1,resolution_time,88:15.2
1,mid,2023,spring,hybrid_ai,26.5,first_response,04:45.1
1,mid,2023,spring,hybrid_ai,26.5,handle_time,16:41.9
1,mid,2023,spring,hybrid_ai,26.5,resolution_time,79:55.9
1,mid,2023,summer,hybrid_ai,88.8,first_response,04:20.5
1,mid,2023,summer,hybrid_ai,88.8,handle_time,14:58.0
1,mid,2023,summer,hybrid_ai,88.8,resolution_time,91:51.7
1,mid,2023,autumn,human,52.3,first_response,05:02.4
1,mid,2023,autumn,human,52.3,handle_time,13:55.9
1,mid,2023,autumn,human,52.3,resolution_time,79:03.2
1,mid,2024,winter,human,63.5,first_response,04:50.9
1,mid,2024,winter,human,63.5,handle_time,16:59.8
1,mid,2024,winter,human,63.5,resolution_time,99:48.5
1,mid,2024,spring,hybrid_ai,100,first_response,04:10.6
1,mid,2024,spring,hybrid_ai,100,handle_time,15:19.4
1,mid,2024,spring,hybrid_ai,100,resolution_time,83:12.6
1,mid,2024,summer,human,68.7,first_response,04:34.8
1,mid,2024,summer,human,68.7,handle_time,14:05.4
1,mid,2024,summer,human,68.7,resolution_time,65:18.8
1,mid,2024,autumn,human,93,first_response,04:34.7
1,mid,2024,autumn,human,93,handle_time,14:24.9
1,mid,2024,autumn,human,93,resolution_time,89:42.7
1,mid,2025,winter,human,18.86827642650602,first_response,04:47.3
1,mid,2025,winter,human,-1.2297968586562575,handle_time,15:05.0
1,mid,2025,winter,human,125.55227153461344,resolution_time,98:17.9
1,mid,2025,spring,human,126.01181202307512,first_response,04:28.4
1,mid,2025,spring,human,39.6823505508501,handle_time,12:06.7
1,mid,2025,spring,human,24.291775817510256,resolution_time,83:48.8
1,mid,2025,summer,human,137.78256454268305,first_response,04:14.0
1,mid,2025,summer,human,42.3731165055682,handle_time,13:19.4
1,mid,2025,summer,human,66.03634266227748,resolution_time,76:56.4
1,mid,2025,autumn,human,82.73505551070978,first_response,04:31.0
1,mid,2025,autumn,human,72.49383267886918,handle_time,15:42.4
1,mid,2025,autumn,human,72.90871291507206,resolution_time,91:22.4
2,mid,2021,winter,human,38.8,first_response,06:00.8
2,mid,2021,winter,human,38.8,handle_time,19:05.3
2,mid,2021,winter,human,38.8,resolution_time,97:11.0
2,mid,2021,spring,hybrid_ai,80,first_response,05:49.5
2,mid,2021,spring,hybrid_ai,80,handle_time,16:16.9
2,mid,2021,spring,hybrid_ai,80,resolution_time,106:04.5
2,mid,2021,summer,hybrid_ai,85.6,first_response,05:31.8
2,mid,2021,summer,hybrid_ai,85.6,handle_time,17:53.0
2,mid,2021,summer,hybrid_ai,85.6,resolution_time,98:59.3
2,mid,2021,autumn,hybrid_ai,46.8,first_response,05:47.5
2,mid,2021,autumn,hybrid_ai,46.8,handle_time,20:07.4
2,mid,2021,autumn,hybrid_ai,46.8,resolution_time,97:10.5
2,mid,2022,winter,human,25.950368804526,first_response,05:40.9
2,mid,2022,winter,human,-51.08791678197378,handle_time,17:23.1
2,mid,2022,winter,human,-35.913770109969484,resolution_time,72:40.6
2,mid,2022,spring,human,85.01876900054431,first_response,04:06.2
2,mid,2022,spring,human,72.50691546798475,handle_time,13:55.3
2,mid,2022,spring,human,90.69922764524935,resolution_time,65:24.5
2,mid,2022,summer,hybrid_ai,4.432441305742223,first_response,04:44.3
2,mid,2022,summer,hybrid_ai,43.42762827507758,handle_time,14:49.7
2,mid,2022,summer,hybrid_ai,23.675715474321073,resolution_time,72:40.0
2,mid,2022,autumn,hybrid_ai,48.70097245975984,first_response,05:26.0
2,mid,2022,autumn,hybrid_ai,41.14718973930043,handle_time,16:42.5
2,mid,2022,autumn,hybrid_ai,93.49808447067377,resolution_time,94:59.0
2,mid,2023,winter,human,51.5,first_response,05:26.0
2,mid,2023,winter,human,51.5,handle_time,17:57.8
2,mid,2023,winter,human,51.5,resolution_time,102:03.1
2,mid,2023,spring,human,100,first_response,04:21.9
2,mid,2023,spring,human,100,handle_time,15:10.2
2,mid,2023,spring,human,100,resolution_time,77:38.2
2,mid,2023,summer,hybrid_ai,58.4,first_response,03:57.8
2,mid,2023,summer,hybrid_ai,58.4,handle_time,14:40.1
2,mid,2023,summer,hybrid_ai,58.4,resolution_time,74:33.4
2,mid,2023,autumn,human,74.2,first_response,04:46.2
2,mid,2023,autumn,human,74.2,handle_time,16:25.5
2,mid,2023,autumn,human,74.2,resolution_time,90:04.4
2,mid,2024,winter,hybrid_ai,67.5,first_response,04:57.6
2,mid,2024,winter,hybrid_ai,67.5,handle_time,15:52.2
2,mid,2024,winter,hybrid_ai,67.5,resolution_time,80:12.6
2,mid,2024,spring,hybrid_ai,52.3,first_response,04:03.1
2,mid,2024,spring,hybrid_ai,52.3,handle_time,14:08.4
2,mid,2024,spring,hybrid_ai,52.3,resolution_time,75:58.5
2,mid,2024,summer,hybrid_ai,90.8,first_response,03:53.8
2,mid,2024,summer,hybrid_ai,90.8,handle_time,11:57.9
2,mid,2024,summer,hybrid_ai,90.8,resolution_time,70:05.4
2,mid,2024,autumn,hybrid_ai,100,first_response,04:47.2
2,mid,2024,autumn,hybrid_ai,100,handle_time,14:15.6
2,mid,2024,autumn,hybrid_ai,100,resolution_time,76:47.5
